comparison,n_pairs,mean_dissimilarity,minimum_dissimilarity,maximum_dissimilarity
All pond pairs,15,0.695950749912049,0.5578947368421052,0.8461538461538461
Between properties,9,0.6985952825697613,0.5578947368421052,0.8461538461538461
Within property,6,0.6919839509254804,0.5620437956204379,0.8181818181818182
