pond,PUSP,PUMP,PULP,RSP,RMP,RLP
PUSP,0,0.6909090909090909,0.5620437956204379,0.5614035087719298,0.7718120805369127,0.8156028368794326
PUMP,0.6909090909090909,0,0.6483516483516484,0.5588235294117647,0.5922330097087378,0.7473684210526316
PULP,0.5620437956204379,0.6483516483516484,0,0.5578947368421052,0.8461538461538461,0.8360655737704918
RSP,0.5614035087719298,0.5588235294117647,0.5578947368421052,0,0.7757009345794392,0.8181818181818182
RMP,0.7718120805369127,0.5922330097087378,0.8461538461538461,0.7757009345794392,0,0.6567164179104478
RLP,0.8156028368794326,0.7473684210526316,0.8360655737704918,0.8181818181818182,0.6567164179104478,0
