pond,PCoA1,PCoA2,pond_label,site,pond_size
PUSP,0.24790648246383445,-0.12945326775236649,Peri-urban S,Peri-urban,Small
PUMP,-0.03379250918264551,0.28961734034982306,Peri-urban M,Peri-urban,Medium
PULP,0.3242898122138546,-0.11376407704039102,Peri-urban L,Peri-urban,Large
RSP,0.2478025327668799,0.08060717112474265,Rural S,Rural,Small
RMP,-0.3764809876304424,0.2033133137841476,Rural M,Rural,Medium
RLP,-0.4097253306314806,-0.3303204804659558,Rural L,Rural,Large
